                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.29133,                0.24041,                0.83545,                0.99899,                      1,                  0.995,                0.97133,                0.28611,                0.20653,                0.82576,              0.0002576,              0.0002576,              0.0002576
                     90,                0.27118,                0.22434,                 0.8223,                0.99902,                      1,                  0.995,                0.97214,                0.25227,                0.19386,                0.81684,              0.0002378,              0.0002378,              0.0002378
                     91,                0.23387,                0.20241,                0.79102,                0.99897,                      1,                  0.995,                0.96769,                0.27225,                0.18984,                0.82774,               0.000218,               0.000218,               0.000218
                     92,                0.23056,                0.18643,                0.77994,                0.99897,                      1,                  0.995,                0.97129,                0.28505,                0.19828,                 0.8354,              0.0001982,              0.0001982,              0.0001982
                     93,                0.23151,                0.18965,                0.77401,                0.99897,                      1,                  0.995,                0.98072,                0.26235,                0.17959,                0.83218,              0.0001784,              0.0001784,              0.0001784
                     94,                0.22032,                0.18292,                0.78239,                0.99898,                      1,                  0.995,                0.98196,                0.25608,                0.17696,                0.83403,              0.0001586,              0.0001586,              0.0001586
                     95,                0.21753,                0.18601,                0.78122,                0.99898,                      1,                  0.995,                0.98125,                0.25329,                0.17552,                0.83287,              0.0001388,              0.0001388,              0.0001388
                     96,                0.21773,                0.18277,                  0.791,                  0.999,                      1,                  0.995,                0.97591,                 0.2707,                0.17804,                0.83451,               0.000119,               0.000119,               0.000119
                     97,                0.21457,                0.17571,                 0.7803,                0.99901,                      1,                  0.995,                0.98297,                0.25171,                0.17078,                0.83344,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.21241,                0.17378,                0.77824,                0.99901,                      1,                  0.995,                0.98025,                0.24737,                0.16913,                0.83496,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.20304,                0.16894,                0.76633,                0.99903,                      1,                  0.995,                0.97596,                0.26397,                0.17339,                0.83678,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.19777,                 0.1692,                0.77074,                0.99902,                      1,                  0.995,                0.98182,                0.25785,                0.16697,                0.83554,               3.98e-05,               3.98e-05,               3.98e-05
